address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
"1000 BLOCK 2ND AVE PITTSBURGH, PA 15219",1,0,1,0,0,0,2017,3,1,,,,,,2,,,
"1000 BLOCK 5TH AVE PITTSBURGH, PA 15219",1,0,1,0,0,0,2017,4,6,Bluff,6,1,42003010300,3,2,4-Feb,40.43857278,-79.99083966
"1000 BLOCK 5TH AVE PITTSBURGH, PA 15219",1,0,1,0,0,0,2015,8,1,Bluff,6,1,42003010300,3,2,4-Feb,40.43857278,-79.99083966
"1000 BLOCK BEECHER ST PITTSBURGH, PA 15208",1,0,0,1,0,0,2015,11,5,Homewood West,9,12,42003120700,2,5,17-Mar,40.45982488,-79.90238923
"1000 BLOCK BIDWELL ST PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,9,0,Manchester,6,21,42003210700,1,1,8-Jan,40.45233534,-80.0204175
"1000 BLOCK BROOKLINE BLVD PITTSBURGH, PA 15226",1,0,1,0,0,0,2016,9,6,Brookline,4,19,42003191900,5,6,26-Apr,40.39211955,-80.01770385
"1000 BLOCK BRUSHTON AVE PITTSBURGH, PA 15221",1,0,1,0,0,0,2015,11,3,Homewood North,9,13,42003130100,2,5,17-Mar,40.4565467,-79.88772958
"1000 BLOCK BRUSHTON AVE PITTSBURGH, PA 15221",1,0,1,0,0,0,2016,6,6,Homewood North,9,13,42003130100,2,5,17-Mar,40.4565467,-79.88772958
"1000 BLOCK CALIFORNIA AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2018,4,5,California-Kirkbride,6,21,42003250700,1,1,9-Jan,40.4590926,-80.02205865
"1000 BLOCK CHARTIERS AVE PITTSBURGH, PA 15220",1,0,1,0,0,0,2018,12,5,Elliott,2,20,42003562600,5,6,17-Jan,40.44420824,-80.04061063
"1000 BLOCK CRISS ST PITTSBURGH, PA 15204",1,0,1,0,0,0,2018,7,2,Sheraden,2,20,42003202200,5,6,16-Jan,40.45881378,-80.06459614
"1000 BLOCK DAVIS AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2019,9,2,Brighton Heights,1,27,42003270800,1,1,14-Jan,40.481676,-80.0295595
"1000 BLOCK GOEHRING ST PITTSBURGH, PA 15212",2,0,0,2,0,0,2016,11,5,Spring Hill-City View,1,24,42003262000,1,1,24-Jan,40.46013022,-79.99490991
"1000 BLOCK HALKET ST PITTSBURGH, PA 15213",1,0,1,0,0,0,2018,9,2,,,,,,4,,,
"1000 BLOCK HERSCHEL ST PITTSBURGH, PA 15220",8,0,3,0,5,0,2018,3,3,Elliott,2,20,42003562600,5,6,17-Jan,40.44169027,-80.04438756
"1000 BLOCK HERSCHEL ST PITTSBURGH, PA 15220",3,0,2,0,0,1,2017,3,3,Elliott,2,20,42003562600,5,6,17-Jan,40.44169027,-80.04438756
"1000 BLOCK LAWNDALE ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2015,7,3,Homewood North,9,13,42003130100,2,5,17-Mar,40.45578005,-79.88168328
"1000 BLOCK LIBERTY AVE PITTSBURGH, PA 15222",1,0,1,0,0,0,2017,9,0,Central Business District,6,2,42003020100,6,2,3-Jan,40.44341901,-79.99461586
"1000 BLOCK NORWICH AVE PITTSBURGH, PA 15226",2,0,0,2,0,0,2016,5,1,Brookline,4,19,42003191800,5,6,26-Apr,40.3883488,-80.02087258
"1000 BLOCK OGLETHORPE AVE PITTSBURGH, PA 15201",1,0,0,1,0,0,2018,5,0,,,,,,5,,,
"1000 BLOCK PENN AVE PITTSBURGH, PA 15222",1,0,1,0,0,0,2017,3,2,Central Business District,6,2,42003020100,6,2,3-Jan,40.44422744,-79.99489376
"1000 BLOCK PENN AVE PITTSBURGH, PA 15222",1,0,1,0,0,0,2016,5,0,Central Business District,6,2,42003020100,6,2,3-Jan,40.44422744,-79.99489376
"1000 BLOCK PENN AVE PITTSBURGH, PA 15222",1,0,1,0,0,0,2016,9,0,Central Business District,6,2,42003020100,6,2,3-Jan,40.44422744,-79.99489376
"1000 BLOCK PENNSYLVANIA AVE PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,7,4,Manchester,6,25,42003210700,1,1,8-Jan,40.45520886,-80.02015017
"1000 BLOCK ROSSELLE CT PITTSBURGH, PA 15207",1,0,1,0,0,0,2015,6,5,,,,,,4,,,
"1000 BLOCK ROSSELLE CT PITTSBURGH, PA 15207",1,0,1,0,0,0,2015,10,5,,,,,,4,,,
"1000 BLOCK ROTHPLETZ ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2015,9,0,Marshall-Shadeland,1,27,42003271500,1,1,14-Jan,40.47638956,-80.02339964
"1000 BLOCK SAW MILL RUN BLVD PITTSBURGH, PA 15226",1,0,1,0,0,0,2015,6,5,Mount Washington,2,19,42003191400,5,3,27-Apr,40.42497144,-80.020033
"1000 BLOCK SHEFFIELD ST PITTSBURGH, PA 15233",1,0,1,0,0,0,2017,11,3,,,,,,1,,,
"1000 BLOCK SHEFFIELD ST PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,2,1,,,,,,1,,,
"1000 BLOCK SHEFFIELD ST PITTSBURGH, PA 15233",1,0,1,0,0,0,2015,7,0,,,,,,1,,,
"1000 BLOCK SHEFFIELD ST PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,7,4,,,,,,1,,,
"1000 BLOCK SILVERDALE ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2015,2,4,Homewood North,9,13,42003130100,2,5,17-Mar,40.45593939,-79.88076951
"1000 BLOCK SOUTH SIDE AVE PITTSBURGH, PA 15212",29,0,4,3,15,7,2019,2,2,,,,42003561000,,1,21-Mar,40.44008969,-79.8802042
"1000 BLOCK STANFORD RD PITTSBURGH, PA 15212",1,0,1,0,0,0,2018,8,4,Brighton Heights,1,27,42003270800,1,1,14-Jan,40.48082196,-80.02964677
"1000 BLOCK THEONA ST PITTSBURGH, PA 15210",1,0,0,0,1,0,2015,7,4,Carrick,4,29,42003290200,3,3,12-Apr,40.40595383,-79.98668806
"1000 BLOCK UVILLA ST PITTSBURGH, PA 15220",1,0,0,1,0,0,2016,8,3,Elliott,2,20,42003562600,5,6,17-Jan,40.44557617,-80.03830225
"1000 BLOCK VALONIA ST PITTSBURGH, PA 15220",1,0,1,0,0,0,2017,4,2,Elliott,2,20,42003562600,5,6,17-Jan,40.44649006,-80.03693709
"1000 BLOCK VINIAL ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2017,2,4,Troy Hill,1,24,42003240600,1,1,5-Jan,40.45748582,-79.99266655
"1000 BLOCK WALACE AVE WILKINSBURG, PA 15221",1,0,1,0,0,0,2017,7,3,,,,42003561100,,OSC,20-Mar,40.44251071,-79.8788449
"1000 BLOCK WASHINGTON BLVD PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,5,5,Lincoln-Lemington-Belmar,9,12,42003120300,2,5,12-Mar,40.46264365,-79.90560216
"1000 BLOCK WASHINGTON BLVD PITTSBURGH, PA 15206",1,0,1,0,0,0,2020,9,5,Lincoln-Lemington-Belmar,9,12,42003120300,2,5,12-Mar,40.4626456,-79.90560241
"1000 BLOCK WHEELER ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2020,3,6,Homewood North,9,13,42003130100,2,5,17-Mar,40.45768104,-79.88451392
"1000 BLOCK W NORTH AVE PITTSBURGH, PA 15233",1,0,1,0,0,0,2017,3,2,,,,,,1,,,
"1000 BLOCK WOODBINE ST PITTSBURGH, PA 15201",1,0,1,0,0,0,2015,12,2,,,,,,5,,,
"1000 BLOCK WOODLOW ST PITTSBURGH, PA 15205",1,0,1,0,0,0,2018,6,3,Crafton Heights,2,28,42003281400,5,6,17-Jan,40.44580307,-80.05238897
"1000 BLOCK WOODLOW ST PITTSBURGH, PA 15205",1,0,1,0,0,0,2016,8,6,Crafton Heights,2,28,42003281400,5,6,17-Jan,40.44580307,-80.05238897
"1000 BLOCK WOODLOW ST PITTSBURGH, PA 15205",2,0,0,2,0,0,2016,9,6,Crafton Heights,2,28,42003281400,5,6,17-Jan,40.44580307,-80.05238897
"1000 BLOCK WOODLOW ST PITTSBURGH, PA 15205",1,0,1,0,0,0,2016,10,0,Crafton Heights,2,28,42003281400,5,6,17-Jan,40.44580307,-80.05238897
"1000 BLOCK WOODLOW ST PITTSBURGH, PA 15205",1,0,1,0,0,0,2015,9,1,Crafton Heights,2,28,42003281400,5,6,17-Jan,40.44580307,-80.05238897
"1000 BLOCK WOODLOW ST PITTSBURGH, PA 15205",1,0,0,0,1,0,2015,6,2,Crafton Heights,2,28,42003281400,5,6,17-Jan,40.44580307,-80.05238897
"1000 BLOCK WOODLOW ST PITTSBURGH, PA 15205",1,0,1,0,0,0,2020,7,4,Crafton Heights,2,28,42003281400,5,6,17-Jan,40.44580307,-80.05238897
"1000 BLOCK WOODLOW ST PITTSBURGH, PA 15205",3,0,3,0,0,0,2016,2,6,Crafton Heights,2,28,42003281400,5,6,17-Jan,40.44580307,-80.05238897
"1000 BLOCK WYMORE ST PITTSBURGH, PA 15220",1,0,1,0,0,0,2020,6,6,Elliott,2,20,42003562600,5,6,17-Jan,40.44205929,-80.04367694
"100 BLOCK 11TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2016,6,6,South Side Flats,3,17,42003170200,3,3,24-Apr,40.42746257,-79.9876285
"100 BLOCK 11TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2020,2,2,South Side Flats,3,17,42003170200,3,3,24-Apr,40.42746257,-79.9876285
"100 BLOCK 11TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2015,9,2,South Side Flats,3,17,42003170200,3,3,24-Apr,40.42746257,-79.9876285
"100 BLOCK 19TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2015,3,0,South Side Flats,3,17,42003170200,3,3,24-Apr,40.42813681,-79.97945446
"100 BLOCK 21ST ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2017,2,3,South Side Flats,3,17,42003170200,3,3,24-Apr,40.42828053,-79.97630358
"100 BLOCK 35TH ST PITTSBURGH, PA 15201",1,0,0,1,0,0,2016,11,1,,,,,,2,,,
"<100 BLOCK 40TH ST PITTSBURGH, PA 15201",1,0,1,0,0,0,2017,4,2,Central Lawrenceville,7,9,42003090100,2,2,3-Mar,40.47149917,-79.96576726
"100 BLOCK 5TH AVE PITTSBURGH, PA 15222",1,0,1,0,0,0,2017,5,2,Central Business District,6,1,42003020100,6,2,3-Jan,40.44141413,-80.00287658
"100 BLOCK 7TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2020,6,3,Central Business District,6,2,42003020100,6,2,3-Jan,40.44414475,-80.0009968
"100 BLOCK 7TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2019,7,1,Central Business District,6,2,42003020100,6,2,3-Jan,40.44414475,-80.0009968
"100 BLOCK 9TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2017,11,6,,,,,,2,,,
"100 BLOCK 9TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2019,7,2,,,,,,2,,,
"100 BLOCK ADDISON PL PITTSBURGH, PA",2,0,2,0,0,0,2017,6,3,,,,,,2,,,
"<100 BLOCK ALLEGHENY SQE PITTSBURGH, PA 15212",1,1,0,0,0,0,2017,3,3,Allegheny West,1,22,42003562700,1,1,8-Jan,40.44937315,-80.01820652
"100 BLOCK ALLUVIAN ST PITTSBURGH, PA 15207",1,0,1,0,0,0,2019,10,0,,,,,,4,,,
"<100 BLOCK ALMEDA ST PITTSBURGH, PA 15207",1,0,1,0,0,0,2015,12,4,Hazelwood,5,15,42003562300,3,4,13-Feb,40.40293417,-79.941869
"<100 BLOCK ALMEDA ST PITTSBURGH, PA 15207",1,0,0,1,0,0,2017,11,5,Hazelwood,5,15,42003562300,3,4,13-Feb,40.40293417,-79.941869
"100 BLOCK ALPINE AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2019,6,1,Central Northside,6,25,42003250300,1,1,21-Jan,40.45870619,-80.00894855
"100 BLOCK AMANDA AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2019,4,4,Carrick,4,29,42003290200,3,3,12-Apr,40.40088388,-79.98843661
"<100 BLOCK AUBURN ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2018,4,3,Larimer,9,12,42003120800,2,5,10-Mar,40.46548636,-79.91761583
"<100 BLOCK AUBURN ST PITTSBURGH, PA 15206",2,0,1,1,0,0,2019,7,0,Larimer,9,12,42003120800,2,5,10-Mar,40.46548636,-79.91761583
"<100 BLOCK AUBURN ST PITTSBURGH, PA 15206",1,0,0,1,0,0,2016,12,1,Larimer,9,12,42003120800,2,5,10-Mar,40.46548636,-79.91761583
"100 BLOCK AUBURN ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,3,3,,,,,,5,,,
"100 BLOCK AUBURN ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2019,12,6,,,,,,5,,,
"100 BLOCK AUBURN ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2018,3,3,,,,,,5,,,
"<100 BLOCK AZIMUTH CT PITTSBURGH, PA 15206",2,0,1,1,0,0,2018,3,3,Highland Park,7,11,42003110200,2,5,9-Mar,40.47671523,-79.92113422
